Le02R_X,Le02R_Y,Le02R_Z,Mi01R_X,Mi01R_Y,Mi01R_Z,Mi02R_X,Mi02R_Y,Mi02R_Z,Mi03R_X,Mi03R_Y,Mi03R_Z,Mi04R_X,Mi04R_Y,Mi04R_Z,Mi05R_X,Mi05R_Y,Mi05R_Z,Mi06R_X,Mi06R_Y,Mi06R_Z,Mi07R_X,Mi07R_Y,Mi07R_Z,Mi08R_X,Mi08R_Y,Mi08R_Z,Mi09R_X,Mi09R_Y,Mi09R_Z,Mm01R_X,Mm01R_Y,Mm01R_Z,Mo01R_X,Mo01R_Y,Mo01R_Z,shdR_X,shdR_Y,shdR_Z,elbR_X,elbR_Y,elbR_Z,wstR_X,wstR_Y,wstR_Z,mcp3R_X,mcp3R_Y,mcp3R_Z,ip3R_X,ip3R_Y,ip3R_Z,t3R_X,t3R_Y,t3R_Z,mcp4R_X,mcp4R_Y,mcp4R_Z,ip4R_X,ip4R_Y,ip4R_Z,t4R_X,t4R_Y,t4R_Z,mcp5R_X,mcp5R_Y,mcp5R_Z,ip5R_X,ip5R_Y,ip5R_Z,t5R_X,t5R_Y,t5R_Z,hipR_X,hipR_Y,hipR_Z,ankR_X,ankR_Y,ankR_Z,str_X,str_Y,str_Z,lmb_X,lmb_Y,lmb_Z,Sj18R_X,Sj18R_Y,Sj18R_Z,Sn02R_X,Sn02R_Y,Sn02R_Z,Sn03R_X,Sn03R_Y,Sn03R_Z,Te01R_X,Te01R_Y,Te01R_Z,Te02R_X,Te02R_Y,Te02R_Z,Te03R_X,Te03R_Y,Te03R_Z,Te05R_X,Te05R_Y,Te05R_Z,Te08R_X,Te08R_Y,Te08R_Z
14.071,25.933,13.229,10.374,25.888,14.968,8.1838,25.289,15.093,6.8935,24.513,14.928,7.9986,24.672,12.158,8.8399,25.19,12.614,9.9452,25.692,12.94,11.828,26.108,11.087,10.745,25.621,10.138,9.4799,24.948,9.5852,13.1,25.363,7.0928,14.806,25.076,6.0569,12.974,24.719,16.181,10.967,25.665,13.819,15.678,25.752,9.542,15.458,24.827,5.9405,15.566,23.531,3.3119,13.923,23.41,0.53751,14.276,25.136,6.3673,13.493,24.476,4.3945,11.862,23.757,2.9221,12.131,25.338,8.3249,10.38,24.776,7.5978,8.376,24.117,7.1708,8.0643,23.758,17.844,4.8674,22.841,16.504,12.757,23.75,17.425,10.504,23.311,17.719,17.483,24.434,9.5866,11.86,25.221,15.39,13.168,26.089,12.023,5.9732,23.671,14.301,7.3295,24.193,11.565,8.1809,24.322,9.1324,10.76,24.361,5.1133,13.334,23.714,2.003
14.165,25.882,13.241,10.448,25.856,14.937,8.2757,25.231,15.056,6.9939,24.459,14.889,8.1393,24.568,12.139,8.9695,25.09,12.593,10.062,25.6,12.925,11.97,25.986,11.092,10.907,25.473,10.14,9.6565,24.777,9.5835,13.311,25.173,7.137,15.029,24.885,6.1236,13.035,24.718,16.169,11.05,25.606,13.786,15.841,25.667,9.6072,15.69,24.653,6.0274,15.849,23.322,3.4217,14.244,23.11,0.62798,14.498,24.931,6.434,13.75,24.206,4.462,12.139,23.457,2.9671,12.333,25.131,8.346,10.566,24.61,7.6161,8.6031,23.855,7.1804,8.1276,23.753,17.818,4.9471,22.8,16.464,12.806,23.73,17.394,10.561,23.316,17.698,17.666,24.358,9.7032,11.934,25.194,15.367,13.283,26.017,12.028,6.0936,23.567,14.267,7.486,24.039,11.544,8.3752,24.116,9.1292,11.009,24.081,5.1451,13.634,23.445,2.0775
14.256,25.831,13.252,10.519,25.822,14.907,8.3636,25.191,15.026,7.0946,24.391,14.859,8.277,24.443,12.125,9.0948,24.984,12.579,10.181,25.524,12.912,12.106,25.889,11.1,11.063,25.349,10.15,9.8268,24.616,9.5914,13.511,24.987,7.1863,15.249,24.707,6.2055,13.097,24.694,16.136,11.126,25.571,13.761,16.014,25.557,9.681,15.916,24.48,6.1242,16.124,23.105,3.5459,14.549,22.813,0.73375,14.711,24.742,6.5039,13.999,23.971,4.5438,12.414,23.159,3.0335,12.507,24.986,8.3807,10.773,24.397,7.6415,8.8229,23.611,7.201,8.1931,23.758,17.797,5.0292,22.749,16.425,12.868,23.737,17.373,10.616,23.32,17.678,17.845,24.283,9.8269,12.005,25.169,15.345,13.394,25.951,12.036,6.2083,23.479,14.247,7.6379,23.895,11.529,8.5652,23.919,9.1383,11.255,23.819,5.1951,13.922,23.177,2.1662
14.345,25.792,13.269,10.589,25.798,14.882,8.4468,25.143,14.995,7.2012,24.317,14.83,8.413,24.346,12.116,9.2171,24.884,12.572,10.291,25.439,12.902,12.238,25.787,11.117,11.219,25.215,10.166,9.9947,24.47,9.6066,13.708,24.821,7.2471,15.468,24.524,6.2944,13.156,24.679,16.113,11.206,25.503,13.737,16.149,25.506,9.7568,16.132,24.329,6.2304,16.39,22.894,3.6788,14.851,22.523,0.85922,14.916,24.557,6.5863,14.235,23.717,4.624,12.685,22.873,3.122,12.698,24.823,8.4189,10.982,24.167,7.6764,9.037,23.381,7.2352,8.2629,23.756,17.779,5.114,22.691,16.384,12.924,23.726,17.342,10.676,23.322,17.656,18.017,24.236,9.9502,12.076,25.146,15.327,13.5,25.891,12.049,6.3226,23.383,14.219,7.7897,23.763,11.528,8.7519,23.738,9.1561,11.495,23.555,5.2585,14.207,22.915,2.2735
14.427,25.76,13.288,10.657,25.783,14.856,8.5288,25.1,14.968,7.3032,24.24,14.812,8.5478,24.238,12.111,9.3322,24.806,12.566,10.397,25.387,12.894,12.363,25.702,11.135,11.368,25.092,10.19,10.157,24.328,9.6263,13.899,24.658,7.3161,15.671,24.361,6.3917,13.227,24.654,16.082,11.277,25.463,13.719,16.304,25.427,9.8353,16.343,24.179,6.3426,16.648,22.69,3.8259,15.142,22.239,0.99763,15.111,24.38,6.673,14.471,23.497,4.7274,12.951,22.595,3.2286,12.874,24.677,8.4688,11.18,24.002,7.7187,9.2463,23.154,7.2782,8.3267,23.748,17.749,5.1956,22.644,16.351,12.983,23.717,17.318,10.734,23.324,17.636,18.177,24.188,10.08,12.148,25.127,15.313,13.601,25.841,12.067,6.4306,23.3,14.204,7.9393,23.637,11.534,8.936,23.565,9.1819,11.73,23.307,5.3378,14.479,22.644,2.3951
14.508,25.726,13.306,10.725,25.771,14.835,8.6069,25.06,14.944,7.4083,24.172,14.789,8.6727,24.1,12.111,9.4438,24.723,12.561,10.494,25.335,12.888,12.48,25.632,11.154,11.515,24.97,10.222,10.318,24.192,9.6558,14.085,24.504,7.391,15.871,24.209,6.4962,13.292,24.683,16.084,11.347,25.426,13.704,16.436,25.375,9.9229,16.548,24.04,6.4597,16.899,22.484,3.9855,15.422,21.948,1.1498,15.301,24.234,6.7718,NaN,NaN, NaN ,13.212,22.322,3.3528,13.029,24.56,8.5205,11.353,23.838,7.7687,9.4478,22.946,7.3291,8.3995,23.734,17.726,5.2811,22.589,16.319,13.044,23.719,17.292,10.794,23.325,17.612,18.333,24.151,10.213,12.216,25.103,15.295,13.696,25.793,12.087,6.544,23.207,14.181,8.0845,23.522,11.545,9.1095,23.403,9.2117,11.958,23.071,5.4256,14.746,22.388,2.5328
14.582,25.7,13.329,10.791,25.758,14.813,8.6849,25.025,14.919,7.5068,24.11,14.774,8.8003,24.008,12.119,9.554,24.652,12.561,10.585,25.283,12.883,12.592,25.557,11.178,11.655,24.859,10.255,10.469,24.065,9.6874,14.262,24.36,7.4752,16.065,24.062,6.6092,13.351,24.649,16.042,11.418,25.386,13.689,16.575,25.337,10.006,16.743,23.912,6.5874,17.147,22.314,4.1519,15.71,21.685,1.3165,15.484,24.068,6.8711,NaN,NaN, NaN ,13.467,22.058,3.4894,13.187,24.452,8.5841,11.528,23.702,7.8312,9.645,22.754,7.3865,8.4686,23.72,17.699,5.3653,22.54,16.291,13.101,23.709,17.267,10.856,23.325,17.591,18.482,24.137,10.35,12.284,25.089,15.282,13.786,25.76,12.114,6.6506,23.118,14.176,8.2211,23.409,11.555,9.2744,23.263,9.2418,12.184,22.845,5.5264,15.01,22.135,2.685
14.654,25.677,13.348,10.854,25.741,14.796,8.7578,24.994,14.899,7.6004,24.072,14.757,8.9219,23.903,12.133,9.6594,24.583,12.563,10.669,25.247,12.874,12.699,25.507,11.203,11.788,24.759,10.293,10.618,23.938,9.7283,14.436,24.231,7.5624,16.248,23.931,6.7267,13.407,24.668,16.038,11.479,25.336,13.681,16.695,25.314,10.106,16.931,23.799,6.7167,17.385,22.142,4.327,15.991,21.42,1.4951,15.663,23.945,6.9785,NaN,NaN, NaN ,13.717,21.813,3.637,13.358,24.331,8.6482,11.694,23.553,7.8948,9.839,22.557,7.4494,8.5425,23.703,17.672,5.4502,22.495,16.268,13.164,23.707,17.243,10.92,23.324,17.569,18.622,24.135,10.486,12.354,25.074,15.269,13.87,25.722,12.137,6.7526,23.023,14.171,8.3529,23.297,11.568,9.4302,23.131,9.2759,12.4,22.634,5.6326,15.268,21.894,2.8469
14.721,25.668,13.371,10.919,25.72,14.78,8.8308,24.96,14.883,7.6814,24.006,14.746,9.0365,23.841,12.148,9.7651,24.505,12.571,10.755,25.233,12.865,12.801,25.459,11.23,11.914,24.665,10.328,10.763,23.827,9.773,14.603,24.116,7.6556,16.429,23.813,6.8485,13.484,24.63,15.996,11.543,25.299,13.672,16.821,25.289,10.19,17.114,23.694,6.853,17.618,21.964,4.5169,16.267,21.155,1.6872,15.838,23.821,7.0936,NaN,NaN, NaN ,13.966,21.578,3.7969,13.492,24.23,8.7176,11.864,23.414,7.9621,10.024,22.401,7.5138,8.6167,23.686,17.643,5.5344,22.447,16.241,13.229,23.702,17.221,10.984,23.328,17.548,18.752,24.14,10.626,12.421,25.062,15.254,13.949,25.698,12.169,6.858,22.939,14.168,8.4776,23.197,11.582,9.5845,23.004,9.3173,12.615,22.438,5.7453,15.522,21.653,3.0209
14.785,25.659,13.393,10.982,25.71,14.763,8.908,24.934,14.862,7.7616,23.959,14.727,9.148,23.763,12.163,9.8639,24.434,12.581,10.824,25.195,12.863,12.896,25.41,11.259,12.034,24.594,10.364,10.906,23.719,9.8224,14.765,24.011,7.7475,16.602,23.712,6.9731,13.543,24.637,15.978,11.599,25.276,13.666,16.93,25.287,10.285,17.288,23.598,6.9927,17.843,21.826,4.7076,16.537,20.917,1.8894,16.005,23.719,7.2123,NaN,NaN, NaN ,14.205,21.357,3.9628,13.649,24.123,8.7886,12.037,23.288,8.0317,10.206,22.243,7.5847,8.6903,23.669,17.616,5.6213,22.402,16.22,13.288,23.691,17.194,11.052,23.327,17.526,18.88,24.164,10.763,12.489,25.05,15.241,14.024,25.676,12.199,NaN,NaN, NaN ,8.5962,23.101,11.603,9.7388,22.875,9.3658,12.821,22.258,5.8627,15.771,21.424,3.2072
14.844,25.656,13.413,11.041,25.696,14.75,8.9877,24.904,14.843,7.8368,23.908,14.715,9.2602,23.683,12.18,9.962,24.36,12.592,10.896,25.162,12.859,12.987,25.376,11.283,12.147,24.551,10.4,11.043,23.618,9.8751,14.924,23.919,7.848,16.769,23.627,7.1025,13.615,24.654,15.978,11.653,25.266,13.662,17.032,25.288,10.378,17.456,23.521,7.1363,18.066,21.693,4.9038,16.799,20.676,2.1074,16.171,23.636,7.3377,NaN,NaN, NaN ,14.442,21.147,4.1362,13.79,24.071,8.8651,12.212,23.152,8.1019,10.384,22.069,7.6649,8.7664,23.644,17.587,5.7097,22.352,16.199,13.352,23.689,17.171,11.115,23.321,17.502,18.993,24.203,10.899,12.556,25.043,15.231,14.097,25.67,12.231,NaN,NaN, NaN ,8.7172,23.006,11.625,9.8974,22.749,9.4213,13.025,22.086,5.989,16.01,21.22,3.3976
14.899,25.661,13.435,11.102,25.681,14.737,9.0646,24.877,14.825,7.9135,23.876,14.706,9.3772,23.611,12.207,10.047,24.307,12.603,10.965,25.158,12.85,13.073,25.361,11.31,12.258,24.493,10.438,11.178,23.525,9.929,15.072,23.841,7.9503,16.928,23.547,7.235,13.68,24.63,15.943,11.705,25.249,13.657,17.13,25.298,10.471,17.617,23.452,7.2853,18.271,21.549,5.1091,17.052,20.443,2.3352,16.325,23.557,7.4594,15.974639,22.265279,5.740715,14.664,20.966,4.3144,13.916,24.018,8.9427,12.352,23.079,8.184,10.559,21.925,7.7476,8.8433,23.635,17.561,5.7963,22.313,16.183,13.416,23.675,17.143,11.189,23.323,17.48,19.105,24.249,11.038,12.621,25.035,15.217,14.163,25.672,12.265,NaN,NaN, NaN ,8.8415,22.927,11.653,10.057,22.619,9.4848,13.22,21.914,6.1203,16.247,21.027,3.5965
14.953,25.67,13.455,11.16,25.678,14.726,9.1216,24.875,14.813,7.9919,23.824,14.698,9.4784,23.5,12.237,10.138,24.258,12.612,11.03,25.143,12.85,13.154,25.332,11.339,12.364,24.457,10.48,11.304,23.444,9.9862,15.213,23.772,8.0537,17.083,23.483,7.3728,13.753,24.618,15.913,11.755,25.239,13.655,17.223,25.323,10.556,17.769,23.397,7.4324,18.475,21.454,5.3135,17.299,20.219,2.5747,16.478,23.489,7.5846,NaN,NaN, NaN ,14.885,20.791,4.5006,14.062,23.939,9.0172,12.504,22.995,8.2671,10.736,21.787,7.8366,8.9212,23.607,17.534,5.881,22.276,16.168,13.483,23.677,17.121,11.256,23.32,17.455,19.204,24.316,11.17,12.686,25.028,15.204,14.223,25.672,12.299,NaN,NaN, NaN ,8.9684,22.841,11.689,10.215,22.497,9.5516,13.409,21.772,6.2544,16.473,20.849,3.8002
15.002,25.679,13.474,11.22,25.667,14.72,9.176,24.855,14.796,8.0629,23.79,14.688,9.5796,23.431,12.266,10.222,24.222,12.621,11.089,25.114,12.855,13.23,25.331,11.368,12.468,24.406,10.527,11.432,23.366,10.043,15.35,23.721,8.1581,17.229,23.428,7.5054,13.826,24.629,15.901,11.802,25.232,13.654,17.312,25.352,10.643,17.914,23.357,7.5805,18.668,21.352,5.5237,17.531,20.034,2.8225,16.619,23.446,7.7144,NaN,NaN, NaN ,15.101,20.617,4.6938,14.172,23.918,9.098,12.652,22.891,8.346,10.898,21.677,7.9243,8.9944,23.594,17.502,5.9665,22.241,16.149,13.55,23.668,17.094,11.329,23.314,17.432,19.3,24.38,11.3,12.751,25.026,15.192,14.28,25.686,12.33,NaN,NaN, NaN ,9.0937,22.76,11.729,10.361,22.401,9.6172,13.595,21.641,6.394,16.69,20.691,4.0085
15.049,25.692,13.493,11.276,25.663,14.712,9.2292,24.831,14.784,8.1335,23.73,14.676,9.6809,23.376,12.286,10.313,24.21,12.62,11.152,25.092,12.856,13.304,25.321,11.397,12.566,24.374,10.578,11.546,23.297,10.1,15.476,23.663,8.2665,17.369,23.386,7.645,13.889,24.646,15.886,11.847,25.23,13.654,17.394,25.397,10.73,18.051,23.318,7.7289,18.854,21.284,5.7323,17.747,19.847,3.0761,16.753,23.391,7.8406,16.495941,21.90937,6.197737,15.295,20.462,4.8901,14.301,23.852,9.1763,12.785,22.841,8.437,NaN,NaN, NaN ,9.0737,23.572,17.474,6.0517,22.207,16.137,13.621,23.662,17.069,11.399,23.307,17.405,19.388,24.458,11.427,12.815,25.023,15.18,14.335,25.707,12.366,NaN,NaN, NaN ,9.2108,22.689,11.773,10.504,22.289,9.687,13.77,21.741,6.5113,16.897,20.529,4.2231
15.094,25.718,13.513,11.332,25.669,14.706,9.2934,24.819,14.772,8.2278,23.76,14.658,9.7704,23.373,12.315,10.379,24.171,12.634,11.218,25.105,12.852,13.374,25.323,11.429,12.66,24.359,10.624,11.661,23.234,10.162,15.605,23.645,8.3751,17.496,23.362,7.7771,13.972,24.604,15.839,11.887,25.22,13.655,17.477,25.443,10.815,18.178,23.309,7.8775,19.032,21.228,5.9417,17.961,19.685,3.3373,16.884,23.363,7.9694,NaN,NaN, NaN ,15.483,20.313,5.0901,14.402,23.862,9.2613,12.92,22.78,8.5233,NaN,NaN, NaN ,9.1489,23.552,17.443,6.1344,22.174,16.123,13.691,23.653,17.041,11.471,23.292,17.378,19.47,24.54,11.548,12.877,25.019,15.166,14.385,25.73,12.399,NaN,NaN, NaN ,9.3123,22.668,11.811,10.64,22.232,9.7571,13.938,21.634,6.6613,17.093,20.408,4.4444
15.136,25.74,13.529,11.387,25.67,14.702,9.3489,24.801,14.761,8.259,23.691,14.658,9.8303,23.384,12.337,10.472,24.181,12.65,11.272,25.088,12.857,13.443,25.338,11.463,12.747,24.341,10.68,11.767,23.188,10.226,15.725,23.615,8.4849,17.624,23.334,7.9147,14.045,24.635,15.828,11.929,25.223,13.655,17.547,25.501,10.899,18.299,23.297,8.02,19.197,21.17,6.1488,18.202,19.74,3.568,17.004,23.352,8.0966,NaN,NaN, NaN ,15.679,20.45,5.2599,14.523,23.808,9.3428,13.048,22.743,8.6181,NaN,NaN, NaN ,9.228,23.529,17.415,6.2186,22.139,16.11,13.758,23.642,17.009,11.544,23.284,17.351,19.547,24.639,11.666,12.938,25.019,15.152,14.433,25.752,12.43,NaN,NaN, NaN ,9.4273,22.591,11.853,10.773,22.177,9.8315,14.096,21.546,6.8122,17.277,20.277,4.6702
15.178,25.772,13.547,11.441,25.668,14.701,9.4048,24.789,14.755,8.3284,23.65,14.645,9.9091,23.362,12.361,10.496,24.147,12.66,11.331,25.087,12.868,13.511,25.345,11.499,12.835,24.331,10.728,11.873,23.19,10.287,15.832,23.616,8.594,17.741,23.328,8.0472,14.11,24.636,15.809,11.972,25.243,13.654,17.615,25.569,10.98,18.412,23.292,8.1604,19.353,21.128,6.3565,18.389,19.611,3.8321,17.115,23.338,8.2213,NaN,NaN, NaN ,15.844,20.373,5.4582,14.611,23.83,9.4288,13.169,22.704,8.7053,NaN,NaN, NaN ,9.3035,23.497,17.384,6.3126,22.088,16.09,13.832,23.644,16.985,11.619,23.271,17.319,19.62,24.738,11.773,13,25.017,15.137,14.478,25.786,12.46,NaN,NaN, NaN ,9.5319,22.563,11.894,10.903,22.125,9.9084,14.244,21.471,6.9642,17.451,20.146,4.9029
15.216,25.809,13.562,11.495,25.687,14.699,9.4676,24.773,14.753,8.3995,23.594,14.631,9.9836,23.387,12.374,10.554,24.169,12.671,11.383,25.038,12.881,13.574,25.361,11.539,12.914,24.339,10.777,11.978,23.167,10.35,15.933,23.608,8.7054,17.848,23.334,8.1766,14.187,24.618,15.773,12.008,25.236,13.656,17.681,25.645,11.056,18.513,23.316,8.3017,19.497,21.115,6.5571,18.562,19.473,4.1016,17.22,23.356,8.3454,NaN,NaN, NaN ,16,20.281,5.6643,14.704,23.831,9.5158,13.286,22.689,8.8013,NaN,NaN, NaN ,9.3805,23.483,17.355,6.3966,22.059,16.081,13.901,23.619,16.949,11.694,23.261,17.289,19.688,24.844,11.879,13.061,25.02,15.122,14.521,25.831,12.492,NaN,NaN, NaN ,9.639,22.503,11.942,11.029,22.096,9.9865,14.383,21.42,7.1118,17.62,20.041,5.136
15.255,25.849,13.576,11.547,25.694,14.698,9.5304,24.774,14.751,8.455,23.606,14.63,10.057,23.383,12.398,10.617,24.165,12.683,11.423,25.107,12.895,13.633,25.377,11.578,12.987,24.354,10.83,NaN,NaN,NaN,16.035,23.781,8.7944,17.943,23.362,8.3034,14.255,24.626,15.745,12.048,25.269,13.655,17.742,25.713,11.128,18.61,23.327,8.4294,19.626,21.098,6.7571,18.722,19.363,4.3653,17.323,23.57,8.4405,NaN,NaN, NaN ,16.141,20.219,5.8677,14.799,23.837,9.6017,13.392,22.694,8.8945,NaN,NaN, NaN ,9.4534,23.46,17.323,6.4903,21.992,16.054,13.975,23.612,16.921,11.768,23.244,17.256,19.75,24.957,11.976,13.122,25.02,15.105,14.565,25.886,12.526,NaN,NaN, NaN ,9.7358,22.483,11.994,11.146,22.054,10.069,14.51,21.364,7.2667,17.764,19.958,5.3688
15.291,25.894,13.591,11.601,25.703,14.7,9.5941,24.759,14.752,8.5095,23.617,14.633,10.143,23.318,12.424,10.674,24.204,12.7,11.478,25.092,12.907,13.689,25.415,11.618,13.061,24.377,10.884,NaN,NaN,NaN,16.122,23.787,8.9032,18.035,23.401,8.4233,14.334,24.625,15.721,12.086,25.286,13.656,17.795,25.807,11.201,18.693,23.368,8.5611,19.749,21.107,6.9471,18.868,19.279,4.6267,17.409,23.59,8.5621,NaN,NaN, NaN ,16.273,20.147,6.0792,14.887,23.847,9.6869,13.494,22.686,8.9935,NaN,NaN, NaN ,9.5304,23.443,17.297,6.551,22.012,16.049,14.049,23.603,16.892,11.845,23.221,17.222,19.81,25.079,12.066,13.185,25.023,15.088,14.604,25.939,12.556,NaN,NaN, NaN ,9.8368,22.449,12.036,11.247,22.152,10.135,14.629,21.339,7.4213,17.902,20.122,5.5676
15.325,25.938,13.605,11.654,25.717,14.703,9.6487,24.768,14.752,8.5662,23.663,14.627,10.211,23.347,12.457,10.74,24.198,12.727,11.525,25.109,12.929,13.741,25.45,11.656,13.13,24.401,10.938,NaN,NaN,NaN,16.2,23.82,9.009,18.123,23.448,8.5421,14.398,24.6,15.686,12.124,25.307,13.66,17.846,25.9,11.271,18.768,23.423,8.6864,19.875,21.174,7.1251,18.995,19.202,4.8784,17.487,23.625,8.6751,17.39671,21.729871,7.302574,16.391,20.107,6.2807,14.96,23.896,9.7724,13.594,22.762,9.0841,NaN,NaN, NaN ,9.6053,23.416,17.266,6.6346,21.987,16.037,14.12,23.581,16.857,11.92,23.204,17.191,19.867,25.212,12.152,13.248,25.027,15.07,14.639,25.993,12.586,NaN,NaN, NaN ,NaN,NaN, NaN ,11.347,22.146,10.211,14.739,21.346,7.5782,18.021,20.066,5.7929
15.358,25.991,13.618,11.707,25.727,14.71,9.6997,24.79,14.75,8.6363,23.632,14.633,10.274,23.357,12.504,10.802,24.196,12.76,11.574,25.138,12.935,13.79,25.495,11.697,13.194,24.447,10.995,NaN,NaN,NaN,16.271,23.864,9.1095,18.183,23.597,8.6441,14.474,24.617,15.661,12.16,25.324,13.667,17.892,26.001,11.338,18.839,23.465,8.7986,19.959,21.151,7.305,19.108,19.14,5.1245,17.558,23.668,8.7877,NaN,NaN, NaN ,16.496,20.069,6.4841,15.033,23.952,9.8575,13.72,22.932,9.1643,NaN,NaN, NaN ,9.6795,23.408,17.24,NaN,NaN, NaN ,14.199,23.576,16.83,11.998,23.184,17.158,19.922,25.352,12.229,13.311,25.028,15.049,14.674,26.057,12.617,NaN,NaN, NaN ,NaN,NaN, NaN ,11.438,22.163,10.287,14.84,21.333,7.7361,18.128,20.028,6.0119
15.388,26.036,13.63,11.761,25.741,14.72,9.7593,24.82,14.754,8.7057,23.64,14.634,10.355,23.318,12.526,10.863,24.212,12.791,11.61,25.211,12.959,13.835,25.543,11.737,13.253,24.5,11.051,NaN,NaN,NaN,16.333,23.923,9.2136,18.244,23.653,8.7555,14.547,24.635,15.652,12.197,25.362,13.674,17.933,26.104,11.4,18.899,23.529,8.9099,20.071,21.278,7.4623,19.201,19.093,5.3643,17.619,23.718,8.8943,NaN,NaN, NaN ,16.589,20.046,6.6802,15.09,23.968,9.9476,13.754,22.568,9.3063,NaN,NaN, NaN ,9.7498,23.384,17.209,6.7924,21.953,16.004,14.274,23.555,16.796,12.076,23.157,17.122,19.972,25.496,12.299,13.373,25.036,15.029,14.707,26.128,12.653,8.215046,22.158928,14.23204,NaN,NaN, NaN ,11.523,22.202,10.359,14.928,21.34,7.8895,18.22,19.996,6.2278
15.419,26.09,13.644,11.817,25.751,14.732,9.8179,24.84,14.756,8.7753,23.659,14.631,10.423,23.305,12.568,10.924,24.21,12.816,11.655,25.234,12.976,13.879,25.6,11.774,13.302,24.556,11.114,NaN,NaN,NaN,16.39,23.979,9.3162,18.298,23.712,8.8659,14.623,24.582,15.594,12.231,25.398,13.683,17.969,26.213,11.461,18.95,23.593,9.0152,20.14,21.32,7.6206,19.284,19.077,5.5912,17.67,23.768,9.0034,17.649718,22.130164,7.729475,16.67,20.037,6.8763,NaN,NaN, NaN ,13.845,22.713,9.3924,NaN,NaN, NaN ,9.8234,23.36,17.183,6.862,21.952,15.983,14.358,23.543,16.771,12.155,23.134,17.09,20.017,25.641,12.359,13.436,25.04,15.008,14.737,26.205,12.687,NaN,NaN, NaN ,NaN,NaN, NaN ,11.605,22.217,10.439,15.005,21.363,8.0399,18.298,19.999,6.4314
15.45,26.146,13.658,11.872,25.758,14.745,9.8668,24.835,14.761,8.8309,23.704,14.645,10.479,23.345,12.622,10.973,24.275,12.842,11.697,25.246,12.995,13.918,25.655,11.816,13.354,24.606,11.173,NaN,NaN,NaN,16.441,24.033,9.4112,18.342,23.764,8.9694,14.695,24.617,15.6,12.265,25.432,13.696,18,26.326,11.516,18.992,23.667,9.113,20.199,21.367,7.7714,19.349,19.085,5.8071,17.71,23.835,9.1095,NaN,NaN, NaN ,16.738,20.029,7.0624,NaN,NaN, NaN ,13.855,22.951,9.4698,NaN,NaN, NaN ,9.8915,23.349,17.152,NaN,NaN, NaN ,14.432,23.515,16.739,12.233,23.106,17.054,20.059,25.797,12.413,13.5,25.047,14.983,14.764,26.277,12.722,NaN,NaN, NaN ,NaN,NaN, NaN ,11.676,22.279,10.512,15.073,21.382,8.1934,18.364,20.004,6.6331
15.479,26.202,13.673,11.926,25.764,14.761,9.9123,24.867,14.77,8.8935,23.677,14.669,10.538,23.406,12.656,11.018,24.325,12.882,11.726,25.327,13.017,13.951,25.73,11.856,13.396,24.676,11.231,NaN,NaN,NaN,16.482,24.1,9.5091,18.377,23.828,9.0676,14.756,24.618,15.567,12.301,25.468,13.711,18.03,26.439,11.569,19.023,23.754,9.2024,20.247,21.415,7.9099,19.403,19.072,6.0181,17.743,23.92,9.2098,NaN,NaN, NaN ,16.794,20.077,7.2332,NaN,NaN, NaN ,13.909,23.005,9.5665,12.419,21.578,9.2476,9.9624,23.314,17.117,7.0537,21.826,15.941,14.515,23.509,16.712,12.313,23.074,17.019,20.095,25.947,12.46,13.562,25.055,14.96,14.787,26.353,12.76,NaN,NaN, NaN ,NaN,NaN, NaN ,11.743,22.289,10.596,15.131,21.426,8.3414,18.418,20.018,6.8242
15.509,26.263,13.687,11.982,25.764,14.774,9.9622,24.888,14.779,8.9542,23.682,14.673,10.598,23.43,12.701,11.074,24.307,12.914,11.758,25.393,13.04,13.981,25.798,11.9,13.437,24.735,11.289,NaN,NaN,NaN,16.511,24.185,9.6055,18.4,23.916,9.1563,14.844,24.559,15.508,12.333,25.506,13.729,18.063,26.487,11.627,19.045,23.836,9.2776,20.282,21.483,8.0385,19.448,19.097,6.2088,17.766,24.002,9.3012,NaN,NaN, NaN ,16.833,20.095,7.4045,NaN,NaN, NaN ,13.953,23.068,9.6619,12.475,21.633,9.3696,10.034,23.3,17.092,NaN,NaN, NaN ,14.593,23.478,16.681,12.393,23.046,16.987,20.129,26.093,12.498,13.625,25.066,14.937,14.812,26.432,12.798,NaN,NaN, NaN ,NaN,NaN, NaN ,11.806,22.344,10.672,15.179,21.461,8.4895,18.459,20.037,7.01
15.54,26.326,13.708,12.037,25.763,14.789,10.013,24.901,14.791,9.0019,23.715,14.691,10.65,23.503,12.748,11.115,24.376,12.945,11.799,25.407,13.061,14.009,25.895,11.942,13.472,24.835,11.347,NaN,NaN,NaN,16.537,24.27,9.6984,18.415,23.977,9.2432,14.927,24.641,15.525,12.369,25.542,13.751,18.145,26.365,11.699,19.056,23.932,9.3472,20.333,21.553,8.1512,19.474,19.124,6.3903,17.78,24.092,9.3829,NaN,NaN, NaN ,16.861,20.126,7.5749,NaN,NaN, NaN ,13.991,23.137,9.7578,12.525,21.682,9.4778,10.104,23.274,17.059,NaN,NaN, NaN ,14.678,23.468,16.654,12.474,23.015,16.951,20.158,26.235,12.529,13.687,25.074,14.914,14.837,26.51,12.838,NaN,NaN, NaN ,NaN,NaN, NaN ,11.862,22.432,10.748,NaN,NaN, NaN ,18.483,20.079,7.1884
